ANNUAL_RAINFALL,SEASONAL_RAINFALL,CLOUD_VISIBILITY,HUMIDITY,RIVER_DISCHARGE,DRAINAGE_INDEX,TEMPERATURE,FLOOD
1987.0,1481.1,3.01,76.5,3636.5,1.04,21.0,1
1945.1,997.3,8.06,72.4,1830.9,2.71,34.0,0
1248.7,610.8,4.67,88.7,2292.1,0.06,24.9,1
2392.5,1222.7,3.44,70.8,1973.7,1.37,26.0,1
2369.7,1613.1,4.07,77.7,1998.4,4.39,25.2,1
2203.3,1272.8,8.1,90.6,1928.5,1.47,31.8,1
2047.5,1268.7,4.11,74.0,618.3,9.02,27.3,0
1280.0,584.1,5.65,77.6,1794.0,8.06,29.9,0
1926.6,886.9,6.05,73.8,440.1,0.72,28.3,0
1977.2,1154.2,0.25,89.8,1360.5,2.49,27.6,1
1678.5,1166.6,1.59,71.9,919.5,8.19,24.2,0
2095.2,1499.2,7.01,90.4,1786.0,8.03,35.2,1
2462.6,1172.2,3.79,73.8,1767.3,9.45,22.1,0
3426.0,2095.0,9.17,64.7,1884.9,9.98,29.6,0
2313.5,1674.9,8.9,83.2,1729.8,9.76,29.5,0
2367.4,1340.9,8.16,71.3,1014.5,4.1,32.6,0
2151.6,1503.7,11.46,82.4,1291.2,2.5,33.6,0
952.8,467.0,5.75,42.2,2236.3,7.58,27.5,0
2182.8,1594.8,7.95,75.1,2354.3,2.99,30.1,1
2239.1,1512.4,4.25,69.5,582.6,8.06,35.1,0
3801.1,2783.9,13.36,62.2,275.3,5.34,27.7,0
2075.0,1354.9,11.95,68.4,918.5,7.94,23.7,0
2396.0,1339.4,6.04,68.1,2336.2,2.76,26.5,1
2177.4,1592.7,7.16,74.4,2471.9,5.08,22.8,0
1440.4,767.2,10.08,58.6,760.2,5.64,29.5,0
2942.8,1617.5,5.56,78.8,1745.8,9.43,32.3,0
2688.8,1775.2,4.03,91.4,2967.5,2.67,27.5,1
2714.2,1844.5,8.62,78.4,1832.2,9.37,21.5,1
1608.9,1172.6,6.24,84.7,2637.2,8.05,32.1,0
3111.8,1591.5,6.55,88.1,2299.0,7.31,20.9,1
1288.8,888.5,3.5,89.8,771.8,7.87,21.8,0
2581.5,1733.6,0.85,97.4,1348.0,6.05,27.3,1
3623.8,1700.1,6.71,69.0,1527.8,2.44,29.0,1
1556.2,881.0,8.71,66.4,1583.3,1.89,29.7,0
1831.9,979.8,5.32,84.4,2233.1,8.66,27.7,0
2264.8,1226.0,10.31,83.5,1826.9,7.25,35.0,0
1872.7,1395.0,3.89,84.3,50.0,2.13,28.3,0
1192.1,766.3,2.84,97.7,449.7,6.15,32.1,0
2244.6,1493.3,5.8,75.1,50.0,4.48,31.1,0
1509.5,1121.5,5.75,80.1,1640.3,1.59,22.8,0
2507.8,1412.3,8.31,63.2,1692.4,5.32,27.3,0
1602.4,1106.5,3.68,100.0,1726.6,2.82,36.5,0
3207.5,1861.5,10.1,71.0,732.9,0.96,26.0,1
1690.9,1202.0,11.9,71.3,2039.3,4.67,25.3,0
1990.7,1003.7,5.88,70.8,2073.0,5.9,28.7,0
2728.8,2003.8,9.75,67.3,495.9,0.47,26.1,1
1399.9,721.9,2.83,66.2,327.2,4.02,24.8,0
2347.8,1286.3,9.23,68.7,1499.9,2.58,26.1,0
3049.6,2064.2,9.14,58.6,2933.4,0.31,33.7,1
1155.1,656.3,8.59,65.6,2859.8,1.26,27.5,0
2320.0,1467.3,5.95,98.4,1950.7,1.39,22.7,1
2368.9,1382.0,0.2,83.8,916.0,1.83,22.0,1
2708.2,1821.8,4.07,86.1,2209.5,8.03,36.8,1
1396.0,723.8,4.12,89.1,1138.1,4.39,27.1,0
1341.7,627.3,3.07,97.0,886.0,1.47,29.7,0
2539.3,1371.1,6.37,53.7,50.0,1.0,24.9,0
2393.0,1417.4,4.74,60.2,1581.9,2.98,29.3,1
2362.8,1182.4,3.53,65.4,996.1,7.98,33.8,0
2425.2,1349.5,2.82,69.4,1577.1,3.64,25.4,1
1758.0,1002.0,3.85,71.4,50.0,1.6,29.8,0
2351.0,1098.4,9.36,69.6,1635.9,4.04,22.4,0
2390.5,1494.0,4.02,77.6,50.0,5.55,36.1,0
1735.7,1241.5,4.46,75.4,2370.4,0.3,29.1,1
3412.8,1691.1,4.63,66.3,1917.5,6.28,26.3,1
2508.0,1578.4,7.02,48.9,1277.1,3.95,26.8,0
1425.7,925.8,7.37,63.1,1950.2,0.1,26.0,0
2626.8,1512.5,0.2,68.4,717.5,6.74,26.2,0
1566.5,1034.4,9.06,72.0,1557.9,7.12,18.2,0
2711.6,1554.3,10.31,61.4,2135.8,6.29,27.6,0
2953.1,1776.0,2.85,69.1,50.0,3.42,27.4,0
1666.6,753.6,3.08,61.4,1142.2,5.3,30.0,0
2826.2,1858.3,4.65,73.5,1481.9,3.87,25.9,1
2468.3,1600.5,3.73,62.1,1343.0,7.01,24.9,0
2734.3,1262.0,6.67,64.8,2665.7,5.84,28.0,1
3432.9,1924.1,0.2,59.3,600.9,0.82,21.6,1
2040.5,1517.5,2.65,73.2,1003.1,6.43,28.6,0
1710.1,985.4,10.62,64.6,50.0,6.87,20.6,0
1621.8,974.0,3.22,85.9,2708.2,3.71,32.5,1
1669.7,1207.2,9.73,79.9,1303.0,8.76,30.7,0
2149.9,1430.1,7.07,74.2,1149.3,8.43,24.3,0
2421.7,1512.7,0.57,65.4,1458.0,1.75,30.6,1
2379.8,1640.5,7.91,79.6,2009.0,9.04,28.4,0
2737.7,1941.9,5.65,83.3,1777.9,4.41,24.0,1
2208.5,1296.5,4.63,76.7,3618.3,7.24,19.9,0
3144.8,1863.4,6.73,94.2,1863.1,8.14,29.3,1
2028.0,1147.5,7.42,80.5,1127.8,5.05,24.8,0
3968.1,2936.4,8.12,86.0,1050.9,3.99,32.4,1
2606.7,1718.2,9.53,76.6,1185.8,9.15,28.1,0
1642.8,780.3,7.22,83.1,298.5,2.31,25.2,0
1503.9,1066.1,1.87,65.4,1531.9,2.57,35.2,1
2513.6,1493.5,4.58,69.5,2126.8,3.62,30.3,1
2054.7,967.0,14.83,79.2,1009.3,8.59,15.0,0
2664.1,1638.2,8.17,79.1,854.1,9.39,26.1,0
2507.6,1442.2,13.11,81.1,2712.8,2.2,22.5,1
2152.7,1535.5,10.19,88.2,358.8,8.64,24.8,0
1649.6,843.3,6.73,57.9,50.0,2.58,27.4,0
1215.3,848.2,6.9,63.3,577.7,9.71,29.4,0
1909.8,1178.9,5.89,77.8,267.7,5.97,29.0,0
2756.7,1285.7,0.79,66.3,1809.0,0.07,32.3,1
2339.2,1734.6,6.05,100.0,1211.4,0.34,30.5,1
1390.3,839.4,9.63,81.2,1324.3,1.47,30.3,0
2312.6,1242.5,4.2,74.1,2422.3,1.88,28.8,1
2450.5,1447.8,7.24,68.8,946.9,7.68,33.1,0
1625.5,1149.8,8.55,69.2,2120.1,2.23,26.7,1
2299.9,1245.3,3.27,75.4,2709.1,9.69,26.8,1
2237.8,1136.4,4.65,76.3,1135.5,6.36,20.4,0
1457.1,712.1,2.95,69.5,2089.6,6.93,32.2,0
2432.6,1312.0,3.53,71.7,1306.5,2.18,27.7,1
2564.5,1754.2,2.14,91.1,2239.3,8.93,39.7,1
2904.0,1717.7,3.3,91.6,242.8,6.68,26.4,0
2885.0,1495.1,10.26,78.0,183.6,8.64,28.4,0
1304.5,652.1,3.25,58.9,1187.0,9.56,30.2,0
1590.4,874.4,6.38,81.5,788.9,1.26,23.6,0
2534.8,1855.4,4.49,93.7,1086.6,0.97,29.4,1
2534.0,1401.0,9.54,91.4,1324.4,8.03,28.1,0
2534.8,1892.1,9.93,83.8,2076.0,8.66,26.8,1
4500.0,2680.1,8.59,92.1,1173.9,5.84,32.7,1
2571.1,1295.2,6.92,75.6,840.9,3.66,24.4,0
2938.1,2107.6,5.31,82.5,1218.8,6.53,29.1,1
2820.1,1658.5,2.42,66.8,884.7,3.06,33.8,1
2623.4,1739.1,11.83,78.5,752.8,2.38,25.2,1
1995.1,1486.6,3.72,91.0,209.6,4.88,26.8,0
2693.3,1252.5,7.99,67.9,1555.6,2.16,37.4,1
1697.7,813.2,9.18,64.7,1045.0,4.84,29.9,0
2046.1,1363.0,4.33,76.2,2273.0,9.57,26.0,0
1884.5,1007.4,9.11,72.3,342.1,8.4,31.2,0
2253.2,1138.5,8.29,82.8,1066.3,9.42,25.7,0
3704.5,1710.8,11.18,69.6,2950.3,8.06,21.7,1
986.3,450.3,4.59,95.6,748.3,3.55,33.5,0
2646.1,1805.5,2.14,59.5,1310.8,8.12,23.6,0
1151.7,564.7,4.48,90.0,527.3,9.23,37.8,0
1893.2,1117.6,6.63,65.8,421.3,9.47,26.0,0
2907.8,1837.1,6.17,53.4,2737.8,6.83,36.5,1
2241.8,1296.9,4.82,77.9,1636.8,2.11,22.5,1
1499.5,687.0,0.27,71.9,1606.9,0.4,32.1,1
1735.1,1188.6,7.41,61.7,142.9,1.47,30.0,0
2641.7,1197.1,11.92,54.8,1787.0,9.66,31.4,0
1725.3,1170.7,7.39,74.9,2425.9,4.62,31.9,0
2340.7,1680.6,7.83,86.7,2419.6,8.55,26.0,0
2229.6,1292.9,7.72,82.0,2034.7,4.65,22.8,1
1776.5,1084.8,7.19,75.7,596.4,6.61,27.8,0
3593.6,2131.3,8.79,80.7,1750.5,0.24,28.9,1
2612.0,1480.4,7.19,74.7,2034.1,2.5,26.1,1
883.7,632.9,5.06,57.8,64.4,4.36,29.1,0
2321.2,1667.0,3.61,57.9,603.0,6.31,29.3,0
1769.8,974.7,5.25,72.6,2210.5,1.72,24.4,0
2754.1,1747.5,6.94,73.1,2200.8,7.65,29.6,1
1684.9,1226.7,5.05,85.2,261.1,3.64,26.9,0
2125.4,1569.9,6.94,84.1,2136.0,8.17,25.2,0
2528.2,1523.7,7.32,82.3,1576.2,0.98,31.1,1
2762.7,1618.5,8.5,71.6,2124.8,6.8,24.9,1
1419.8,757.6,9.85,58.4,992.4,2.93,26.2,0
1982.6,1462.5,6.23,79.9,2016.1,7.95,28.3,0
1891.3,932.1,2.08,81.3,2175.1,4.02,33.5,0
1775.3,1107.7,4.96,46.3,1218.9,6.65,28.8,0
3347.5,1790.2,6.13,65.0,1514.2,9.34,30.1,0
2463.2,1314.6,0.49,66.7,981.2,0.21,26.8,1
1380.4,788.9,10.17,76.4,2821.3,0.11,27.7,1
2796.6,2096.4,6.43,65.4,1403.8,7.7,27.8,1
3579.4,1669.8,7.14,74.5,762.4,6.46,29.2,1
2871.1,1790.3,10.1,72.5,927.3,2.93,26.8,0
1212.4,575.6,4.11,73.1,1601.4,4.94,33.4,0
1885.2,935.8,7.72,66.4,2102.7,0.42,26.5,1
3023.5,1759.3,5.67,67.3,431.3,1.92,21.2,0
1740.0,1049.5,5.45,62.0,2978.1,4.24,39.0,0
2488.5,1313.0,3.68,79.6,1746.9,8.34,26.7,0
2703.5,1473.2,11.0,81.9,1873.2,4.8,33.3,0
1597.5,760.6,4.87,65.8,1422.2,5.86,33.6,0
2161.3,1169.2,8.1,93.2,1515.4,8.74,31.8,0
400.0,296.0,0.37,71.2,1381.4,3.09,27.2,0
1534.1,1125.2,9.54,93.4,2314.2,7.01,29.1,0
2035.8,1120.7,9.16,67.3,1493.7,8.62,22.9,0
1388.9,862.9,6.29,50.7,2113.6,2.03,36.0,0
3261.1,2357.4,5.32,79.8,1152.9,3.56,24.6,1
1270.4,574.0,7.2,78.0,1656.5,9.8,27.0,0
1914.0,1326.8,12.87,75.4,856.9,9.83,28.4,0
2285.0,1678.3,0.71,67.3,2473.2,2.23,27.6,1
3136.8,1497.5,8.35,74.6,833.0,0.66,25.4,1
1266.7,631.4,3.27,68.9,1240.0,2.71,33.6,0
2956.1,2182.2,5.94,71.4,1248.0,3.98,31.8,1
2206.7,1348.8,5.26,85.1,1216.8,4.41,29.3,0
1562.0,709.6,4.72,77.2,2078.0,6.19,26.4,0
2500.4,1318.4,5.97,82.3,1246.7,9.0,32.3,0
2329.4,1362.7,2.6,72.2,2615.1,3.3,26.1,1
1809.9,1190.7,9.09,70.9,845.2,8.5,34.3,0
2245.4,1504.3,0.62,61.2,1635.5,0.93,28.4,1
1949.5,1459.5,7.62,70.6,879.4,0.42,32.9,1
2273.8,1219.3,5.02,35.1,1836.8,5.04,27.5,0
2630.4,1608.4,2.49,67.9,1487.2,0.6,28.3,1
3230.9,1970.8,6.61,74.0,1376.0,3.92,32.9,1
1395.4,797.8,1.33,81.8,2450.8,8.97,36.8,0
3586.5,1795.9,6.12,71.8,976.5,2.41,34.2,1
931.1,692.1,1.73,79.2,1969.2,7.06,31.5,0
2101.3,1483.5,7.38,48.8,884.8,3.02,30.4,0
2582.4,1548.2,3.23,74.3,1590.1,0.45,26.0,1
2382.6,1503.4,4.65,54.8,543.5,5.57,29.2,0
1795.2,930.3,6.88,60.5,970.0,8.35,24.3,0
2064.7,1266.0,3.68,72.8,1434.3,4.09,29.5,0
1879.5,1237.7,5.83,90.3,2951.7,6.17,29.8,1
1816.9,1098.4,1.46,79.5,1580.6,9.0,20.2,0
2752.2,2056.2,7.89,75.2,2823.7,7.9,28.2,1
2432.1,1540.5,11.29,74.8,1676.3,1.94,29.7,1
1749.6,982.0,14.38,66.4,1190.3,7.33,27.7,0
2784.7,1898.2,6.27,68.5,2731.5,5.02,29.4,1
2399.7,1202.6,8.36,80.1,1849.6,7.46,22.6,0
2728.4,1542.5,0.66,58.4,985.8,4.95,24.9,0
2609.3,1445.8,10.51,82.1,1876.5,1.28,32.1,1
1661.2,962.7,8.33,70.3,1265.9,5.7,28.0,0
1835.9,1256.7,4.55,84.9,50.0,4.92,29.4,0
2685.7,1598.7,9.71,86.5,2248.8,5.18,25.8,1
2596.7,1787.1,5.24,54.9,2375.9,8.79,28.1,1
2186.4,1362.0,4.63,68.0,2970.4,8.95,18.8,0
2276.3,1257.9,7.43,64.7,1837.7,4.54,31.4,0
3030.5,2100.1,2.81,53.2,1301.0,4.56,35.2,1
1815.5,946.7,9.06,62.6,2168.0,5.15,23.7,0
2555.6,1322.1,2.83,100.0,2179.9,5.2,24.2,1
2068.6,1243.9,2.85,82.3,2810.6,9.5,29.8,0
2058.5,1087.4,3.27,98.0,1464.3,6.49,33.9,1
2914.2,1319.3,8.28,84.9,1367.5,2.77,28.0,1
2736.5,1763.7,4.15,66.1,927.6,5.32,23.1,0
2728.8,1646.4,1.96,70.4,1930.0,6.27,27.2,1
3048.6,1779.3,4.18,82.1,261.4,6.4,23.9,0
2213.7,1638.3,5.9,80.3,2120.9,5.85,25.3,1
2643.3,1642.4,2.46,68.1,1970.3,1.78,26.8,1
1998.3,1416.9,2.54,56.9,1968.1,0.34,24.3,1
2410.7,1185.7,12.33,100.0,1610.6,3.38,24.9,1
2115.4,1313.2,3.42,73.3,2726.4,4.28,28.3,1
2263.0,1607.7,5.03,71.1,2197.6,0.62,28.9,1
2586.9,1616.6,4.9,76.4,1014.3,8.15,22.3,0
1668.2,1110.0,4.74,72.1,1028.7,3.44,29.6,0
3560.1,1999.4,7.86,76.5,796.3,9.14,26.5,0
1546.1,738.6,8.84,90.4,1941.0,1.54,30.9,1
1410.8,828.6,5.08,73.5,699.9,0.57,31.1,0
2952.8,1678.2,2.29,61.0,2366.7,4.82,25.8,1
2714.6,1927.7,9.82,73.1,2558.4,1.89,30.5,1
2605.7,1363.3,5.71,69.4,796.8,9.37,24.7,0
2608.4,1930.3,11.19,92.1,1351.6,0.1,33.3,1
2192.0,1616.5,0.2,89.1,1513.3,4.13,24.8,1
1616.8,847.7,6.59,76.3,2207.2,9.27,29.4,0
2249.3,1247.0,11.76,59.7,2787.5,3.84,27.2,1
1759.8,1264.7,4.94,60.3,151.6,0.93,23.9,0
2833.8,2097.0,5.32,75.2,1245.5,3.03,31.6,1
2104.4,1226.9,6.89,79.0,1287.2,4.98,25.5,0
1663.4,908.7,4.32,70.5,379.5,1.85,21.2,0
1991.1,1210.2,5.06,69.2,1111.9,4.67,16.5,0
2468.4,1620.1,4.99,67.9,1842.2,8.36,24.5,0
1833.6,975.5,4.12,74.7,1277.1,8.73,33.5,0
1665.6,1117.5,9.69,46.4,264.3,0.49,33.0,0
2358.4,1097.8,7.38,61.8,3799.3,1.61,25.1,1
2359.2,1096.5,6.75,67.5,1712.9,2.75,26.5,0
1870.5,1058.5,8.43,89.5,1589.4,5.95,26.1,0
1893.8,1053.0,5.21,65.2,621.7,3.61,22.7,0
2350.8,1280.5,3.68,77.2,1708.6,8.44,24.2,0
1258.7,751.9,4.19,77.7,1368.6,7.17,31.9,0
1285.1,702.0,6.01,90.6,50.0,1.0,30.0,0
1733.0,879.8,2.82,90.2,643.8,6.25,29.1,0
2061.3,1118.9,4.5,74.3,2135.9,1.13,22.7,1
2402.1,1783.5,4.45,69.3,3055.2,2.55,28.4,1
3159.0,1811.2,12.37,67.0,1793.7,1.78,18.8,1
2757.5,1608.8,0.2,72.1,2382.5,1.73,31.4,1
2096.0,1305.8,5.46,69.8,1375.4,6.16,29.0,0
2187.6,1629.8,11.18,81.6,1430.8,5.64,22.6,0
1548.4,809.0,6.37,80.0,2372.8,1.76,34.5,0
2188.0,1431.8,8.26,82.1,2830.2,9.9,20.8,0
2012.4,1337.8,6.3,90.1,2540.9,4.22,30.1,1
2409.8,1523.4,4.0,97.4,646.9,0.97,30.2,1
1662.3,792.2,0.2,76.5,1446.4,1.21,23.0,1
2537.6,1657.2,6.62,88.2,1722.0,5.84,27.8,1
3196.3,1499.8,3.67,70.8,1292.3,9.79,21.5,0
2129.3,1339.0,3.6,89.2,1810.3,5.72,16.6,1
2461.1,1653.6,4.5,87.7,2156.5,9.49,23.7,1
2648.6,1359.5,11.23,87.1,2302.2,4.44,25.5,1
1939.2,1362.3,13.21,76.1,2848.7,4.36,30.6,0
2345.7,1076.9,6.65,67.0,1236.4,5.0,28.3,0
2208.2,1552.7,4.61,58.3,408.8,6.97,28.4,0
2263.5,1331.2,2.47,74.5,1786.6,3.68,23.9,1
1697.5,874.7,7.41,93.4,3007.0,8.64,25.9,0
2215.9,1086.1,11.35,71.3,1118.4,0.29,24.3,0
2523.7,1857.4,5.26,84.4,2049.5,4.4,23.1,1
3143.2,1483.0,0.2,85.1,2056.6,5.11,25.6,1
2823.5,1439.2,8.01,71.6,1653.2,6.07,28.3,0
3599.6,1995.4,8.96,90.8,1505.5,2.76,25.7,1
1701.2,1082.1,1.24,40.1,761.3,4.27,26.7,0
2767.0,1697.4,6.53,60.3,50.0,4.85,30.8,0
2319.2,1131.0,7.35,64.0,610.5,6.87,26.0,0
3623.4,1945.5,5.78,65.2,1187.8,7.74,22.7,1
1674.6,873.5,3.63,79.0,2377.9,7.38,30.3,0
1654.2,850.4,9.05,78.5,1417.5,3.42,29.1,0
1810.4,1038.0,4.79,79.7,1084.8,9.99,29.3,0
819.5,541.8,1.54,82.2,787.2,8.49,30.5,0
1858.3,957.4,0.2,63.6,2025.4,2.6,29.8,0
1706.6,955.7,9.78,60.4,2586.7,1.95,28.1,0
2297.8,1303.5,7.85,79.8,2350.7,3.14,37.6,1
2422.1,1799.5,6.26,67.4,1984.9,4.52,22.9,1
3419.5,2518.1,4.68,56.2,319.5,8.51,25.7,1
2817.8,1944.4,4.41,86.7,1218.7,7.78,31.9,1
1825.0,953.6,2.77,91.7,3057.8,8.51,28.6,1
1616.0,760.2,4.71,93.7,2397.6,2.72,31.0,1
2519.7,1373.4,0.2,77.2,270.0,5.93,28.7,0
1341.8,711.2,3.79,82.5,1455.5,2.83,33.5,0
3390.4,2040.3,5.07,91.4,1790.5,1.09,24.0,1
2966.6,2027.2,7.83,67.3,890.3,6.84,33.4,0
1895.0,1340.7,5.88,88.3,50.0,1.43,32.7,0
1086.5,764.3,8.38,78.3,1579.1,6.68,23.2,0
3080.0,1718.3,10.05,86.0,869.8,6.48,30.5,0
2125.5,1394.7,9.17,77.2,872.9,8.1,27.8,0
3004.6,1634.0,7.41,90.6,1216.3,1.4,25.6,1
1163.6,544.9,6.04,77.7,1393.1,7.83,20.4,0
1810.4,1195.7,3.06,57.2,1492.7,9.99,24.0,0
2203.4,998.0,8.22,92.4,792.8,8.51,30.8,0
2230.5,1277.6,11.04,63.6,1323.8,7.52,31.3,0
1907.5,1046.8,7.03,90.0,94.1,6.62,27.2,0
2604.9,1714.0,11.75,73.9,1748.8,4.22,31.3,1
1506.0,1023.9,1.42,89.1,50.0,7.31,31.8,0
2107.5,1140.6,2.54,88.6,1268.4,7.24,28.6,0
2278.2,1579.9,8.57,80.2,2235.3,6.31,25.1,1
2534.4,1363.9,6.79,81.1,652.5,7.96,29.8,0
2662.5,1554.7,9.94,80.1,2073.1,4.49,29.9,0
1469.0,981.4,5.95,50.8,2424.6,1.21,30.7,0
1202.8,791.3,3.4,76.4,50.0,5.59,31.5,0
3030.5,2261.4,5.36,61.6,1378.9,2.65,22.6,1
2416.0,1250.4,1.4,77.1,50.0,3.84,26.0,0
1713.5,1111.5,2.61,61.3,1405.4,0.17,20.4,0
3208.2,2030.5,8.92,60.8,1494.3,3.83,31.0,1
2275.2,1648.4,8.62,94.3,50.0,8.09,27.2,0
2966.5,1474.1,7.09,87.8,3039.9,5.43,29.7,1
2243.9,1515.8,0.84,75.0,1728.8,0.1,22.1,1
3539.5,2196.2,4.92,77.2,820.8,4.7,33.6,1
3341.0,1778.7,2.33,72.0,2672.3,2.91,23.2,1
2038.2,1207.3,9.53,81.8,63.5,4.78,31.1,0
2831.5,1557.7,4.25,66.9,516.7,4.05,28.5,0
2619.5,1634.0,2.74,86.9,50.0,9.32,27.2,0
